Gentilicios
afgano
albanés
alemán
andorrano
angoleño
antiguano
barbudense
saudí
argelino
argentino
armenio
australiano
austríaco
azerbaiyano
bahameño
bangladesí
barbadense
bareiní
belga
beliceño
beninés
bielorruso
birmano
boliviano
bosnioherzegovino
botsuano
brasileño
bruneano
búlgaro
burkinés
burundés
butanés
caboverdiano
camboyano
camerunés
canadiense
catarí
chadiano
chileno
chino
chipriota
vaticano
colombiano
comorense
norcoreano
surcoreano
marfileño
costarricense
croata
cubano
danés
dominiqués
ecuatoriano
egipcio
salvadoreño
emiratí
eritreo
eslovaco
esloveno
español
estadounidense
estonio
etíope
filipino
finlandés
fiyiano
francés
gabonés
gambiano
georgiano
ghanés
granadino
griego
guatemalteco
guyanés
guineano
guineanoecuatorial
haitiano
hondureño
húngaro
indio
indonesio
iraquí
iraní
irlandés
islandés
marshallés
salomonense
israelí
italiano
jamaicano
japonés
jordano
kazajo
keniano
kirguís
kiribatiano
kuwaití
laosiano
lesotense
letón
libanés
liberiano
libio
liechtensteiniano
lituano
luxemburgués
malgache
malasio
malauí
maldivo
maliense
maltés
marroquí
mauriciano
mauritano
mexicano
micronesio
moldavo
monegasco
mongol
montenegrino
mozambiqueño
namibio
nauruano
nepalí
nicaragüense
nigerino
nigeriano
noruego
neozelandés
omaní
neerlandés
paquistaní
palauano
panameño
papú
paraguayo
peruano
polaco
portugués
británico
centroafricano
checo
congoleño
congoleño
dominicano
sudafricano
ruandés
rumano
ruso
samoano
sanvicentino
sanmarinense
santalucense
santotomense
senegalés
serbio
seychellense
sierraleonés
singapurense
sirio
somalí
ceilandés
suazi
sudanés
sursudanés
sueco
suizo
surinamés
tailandés
tanzano
tayiko
timorense
togolés
tongano
trinitense
tunecino
turcomano
turco
tuvaluano
ucraniano
ugandés
uruguayo
uzbeko
vanuatuense
venezolano
vietnamita
yemení
yibutiano
zambiano
zimbabuense
